text,label,source
"During the period of falling in love, each time that we met and á especially when we had not met for a long time.",joy,isear
When I was involved in a traffic accident.,fear,isear
"When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",anger,isear
When I lost the person who meant the most to me. ,sadness,isear
"The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",disgust,isear
When I did not speak the truth.,shame,isear
When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.,guilt,isear
When I got a letter offering me the Summer job that I had applied á for.  ,joy,isear
When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.,fear,isear
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger,isear
When my friends did not ask me to go to a New Year's party á with them.,sadness,isear
When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.,disgust,isear
When I could not remember what to say about a presentation task á at an accounts meeting.,shame,isear
When my uncle and my neighbour came home under police escort.,guilt,isear
[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.],joy,isear
"Every time I imagine that someone I love or I could contact a á serious illness, even death.",fear,isear
When I had been obviously unjustly treated and had no possibility á of elucidating this.,anger,isear
When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.,sadness,isear
At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.,disgust,isear
When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.,shame,isear
I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.,guilt,isear
After my girlfriend had taken her exam we went to her parent's á place.,joy,isear
"When, for the first time I realized the meaning of death.",fear,isear
When a car is overtaking another and I am forced to drive off the á road.,anger,isear
"When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.",sadness,isear
When I found a bristle in the liver paste tube.,disgust,isear
"When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.",shame,isear
When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.,guilt,isear
When I pass an examination which I did not think I did well.,joy,isear
"When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",fear,isear
When one is unjustly accused of something one has not done.,anger,isear
When one's studies seem hopelessly difficult and uninteresting.  ,sadness,isear
"When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",disgust,isear
"When one has been unjust, stupid towards someone else. ",shame,isear
When one has neglected or been unjust to a good friend.,guilt,isear
Passing an exam I did not expect to pass.,joy,isear
When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.,fear,isear
Friends who torture animals.,anger,isear
[ Same as in anger.],sadness,isear
Friends who torture animals.,disgust,isear
[ Same as above - friends who torture animals.],shame,isear
[ When excuses are necessary and I get out of doing it myself.],guilt,isear
When I had my children.,joy,isear
When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,fear,isear
When my partner was attacked and lost three teeth.,anger,isear
When I see children on T.V from areas devastated by drought and á war.,sadness,isear
When I nearly walked on a blindworm and then saw it crawl away.,disgust,isear
When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.,shame,isear
"I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.",guilt,isear
When my child was born.,joy,isear
"It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.",fear,isear
"Unjust accusations directed at me and my way of acting, by á someone close to me.  ",anger,isear
Failing an examination.,sadness,isear
"A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.",disgust,isear
"When, as an adult I have been caught lying or behaving badly.",shame,isear
"When I am in an environment or with a person much worse off than á me, I realize how privileged I am.",guilt,isear
When I saw a person I had not seen for a long time.,joy,isear
"When, as a child, I was nearly knocked down by a car.",fear,isear
"When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.",anger,isear
"When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.",sadness,isear
When one learns through the mass media all the wars and killing á going on in the world.,disgust,isear
"I lied, to be precise I cancelled a meeting with a good friend.",shame,isear
When one lets friends down,guilt,isear
When I was accepted for a course on finance and accounting.,joy,isear
