text,label
getting a friend an open container ticket because i got caught speeding.,3
when for the first and the last time i tried to crib and the teacher was with her back to me but right when i was taking the materials out she turned round and saw me.,6
when i lost something that was valuable to my sister.,3
when my grandmother after staying with us for awhile went back home.,5
when i think that i have been too stict or narrow minded towards my students.,3
finding out my grades at the end of my freshman year.,4
i ran a race for the cal track team and i did terribly and then the coach said that i should sit out for the season. i felt really sad because i was not going to be able to run. it was something i always had done and now i could not do it anymore.,5
it was during a school holiday i was found necking a girl in my room by my father.,6
one day i went to see a movie without my parents permission. it was an adult movie and i was scared that my parents would not allow me to see the movie. however after coming home i felt very guilty at what i had done.,3
i quarreled with my boy friend. he said it was unfair that i always started crying so that he had to give in.,3
when i acted in a negative way at a certain moment by laziness to concede a moment of the time i thought to be my own.,3
the inflammation of the ear of my child got cured and the doctor said that the ear was completely all right.,4
a friend died of cancer when he was 18 years old.,5
when i could not find my dog which was missing.,5
waiting for my marks in a difficult subject.,2
one day i came across a certain boy who was intruding my friendship as lovers with my girlfriend and i was very sad because i did not expect that girl to disappoint me i regarded her as being very faithful.,5
someone borrowed my textbook and deliberately did not return it.,0
"before an accident, my aunt offered me the front seat of the car, next to the driver. i declined, she took that seat and was killed there when the car crashed.",3
when my friends did not ask me to go to a new year's party with them.,5
"at school, a couple of years ago, a so called acquaintance told lies about me to a teacher i was told about it by friends who overheard the conversation.",0
"i had an argument with a friend of mine. she would not let me speak and then i began to shout at her. she got angry and left, i did not try to prevent her from leaving.",3
"we were at a party, this guy i liked and me. i really loved him and gathered enough courage to ask him to kiss me. he did not do it but instead asked me what i would like for my birthday. i told him that i would like a kiss more than anything else but he excused himself and said that it was impossible. i really felt embarassed.",6
the juniors in our dormitory at school started to complain and make a lot of noise about the duties assigned to them by the prefect who was my class mate and was very cool and dull.,0
"when a girl said in my back that we were in love, and she had actually refused me. when i confronted her she started insulting me.",1
i was filled with joy when i heard that i had passed my secondary school leaving certificate exam.,4
one of my good friends had to migrate to america. our friendship had developed quite well and it was a pity as our friendship would fade.,5
i fear before each exam.,2
it was when my father beat my mother while she was ill for three weeks and now she was recovering.,1
"the thought that i will never sit at the school desk again, caused a deep grief at the end of my eleventh form.",5
when my first boyfriend left me. i tried not to let him understand i felt miserable.,5
"one day, i was home and there was a phone call informing me that some of my relatives had died in an accident.",5
"when talking with my sister, she often ventilates prejudices, which my father also adheres.",0
i was ashamed when i was being introduced to the church congregation.,6
"it irritates me when people talk about me behind my back. i prefer people to tell me what they have to, on my face instead of talking behind my back.",0
"in punjab, when in the name of religion people killed each other during the agitation.",1
caught cheating on a diet.,6
"i made the college entrance examinations for p.you.c. it was what i wanted more. when the first list came out i got frustrated. i was not in. when the second list came out without hopes i started to read the newspaper and my name was thre. i was in the bus and felt like crying so that everybody could hear me. the cry was hold, and 1982 became forever a mask in my life.",4
"i was eating in a very nice restaurant, when the servant asked whether i liked the food i told him that i liked it but that there was one thing which was not so good. the servant than worked very hard to make it good.",6
a story i heard recently about a baby dying after sexual abuse.,1
a friend of mine shot himself through the head after having told me and others that he would do so.,3
"at a concert an old man arrived and began to danse, sing and do silly things.",6
"when i was told that my daughter, who is at a boarding school, was very ill and that they needed me there the same day.",2
i found a baby opposum on the road and took it home and cared for it for a week. it had to be force fed and carried in a fur pouch under my jersey. my father had the vet put it to sleep as he said they carried diseases.,5
grovelling people.,1
after my boyfriend and i had separated.,5
when i worked at the life saving service i was disgusted by a patient whose outward appearance was distasteful.,1
negative statement concerning me of a friend before strangers.,1
someone told me that he would stay at my home for one night. therefore i made big efforts to make everything ok food . one day before he cancelled the appointment because he had to go to church with his parents.,0
i wrote an assignment and was given less marks than a friend with whom i had previously discussed the assignment.,0
some colleagues decided to go out on a saturday not inviting me to decide either the place nor the time.,5
"when i hooked a girl in kitwe. she was very beautiful for my standards, a rare bird of this kind accepted me as a boyfriend.",4
"when i miss the train and i am late, and i have to wait half an hour for the next one.",0
i was talking to a friend and he said something which was very funny.,4
"this was when i was discovered stealing a piece of bread at home, i was very hungry a few hours before supper.",6
a younger brother of a good friend of mine died asthma .,5
never.,2
finding out that i am not ill not seriously .,4
when my mother was angry with me over my friends and boyfriend.,2
i passed an exam that i was absolutely certain that i had failed.,4
first anatomy lesson.,1
when i nearly got my fiancee pregnant.,3
"when, for the first time i realized the meaning of death.",2
i was at the table at a french friend's house. they served me a big dish with roast cauliflower and sauce. i had to eat it.,1
i lost my purse that had money in it. i was sad until i found it.,5
the previous incident holds good here also.,1
the day my fiancee told me that it was bad that i could not write my mother tongue.,6
when i think about my parents getting old.,5
when my brother promised me money but he failed to fulfill the promise.,1
